id,donor_id,influencer_id,relationship_type,relationship_weight,interest_category,created_at,last_interaction_date,is_active
002cd4c0-00b7-43d8-accc-dfc48e329c80,660f161d-b84c-4b32-a0ba-357aac82ed3a,4406f8c8-b5a1-475d-a01d-eff07eefcede,Reported to,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
00acb203-1d7a-43b6-a3ac-bc7fdb153d5f,d7eeceb9-64ef-482e-8bc9-2b14bd4081f7,42b9a85e-17a1-480a-9821-6ab8f0d9ee99,Fellow Committee Member,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
00fa3b98-967f-436e-b5cf-373d53993028,9521d878-2d9f-48c7-ab65-6884567b59c5,c7c73f51-10f9-4b5b-a045-d8e47a0912d8,Collaborated with,8,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
01a263a8-6e3f-48e1-8b15-0c879848e618,7327de32-1fb3-477b-867b-85df579bdb79,8de4d78c-0be0-4f3d-992b-cb843c0791a3,Family - extended,5,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
025812f4-3cb7-45ff-a31e-8923e19cfe95,dc6a8330-abbc-4924-ab6c-1d417e9038fd,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Co-founder,9,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
02c47116-31f3-49ae-905a-c4b5142d2a34,94d05938-44cd-4d19-8e5f-a913422e3cca,7fbfc2db-7784-43b3-9d25-127cf8974382,Fellow Speaker,3,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
034b139c-2105-4351-8d2c-4f72f0921f06,07c08a95-b20e-4c0c-a920-c478180d67f3,c710a691-e490-4ec0-acfd-6cd9d64147b7,Family - extended,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
0363410e-add4-4185-83fd-fafb92bb814f,0a7a7de1-80d3-43b8-9168-c7e595aae3f7,8e8a87d1-c3b8-44e7-8867-e2692e02f190,Fellow Board Member,8,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
039930dd-b290-477d-8d02-8c9ad80b3ac5,0859aa9f-b527-4dda-ab22-2b9f935444e5,a58bd549-cf1b-44b5-afc1-81d961be3177,Mentor/Mentee,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
03c55bee-26d1-4e9c-983e-79d4fae3764f,e8da460a-e6b9-48c2-b231-c1e0463c76fe,7f91ada6-c58d-47bf-9f45-940282f6a292,Fellow Committee Member,5,Travel and Exploration: Backpacking and adventure travel,2025-08-30 16:04:19,2025-11-27 10:31:13.240475,true
