donor_id,influencer_id,relationship_type,relationship_weight,interest_category,created_at
d08250b4-b3d9-4846-9aef-459af3cb1135,f052624c-43e0-4088-b84d-a3b7ec01dc54,Reported to,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
e61a672e-5a6e-4971-a8a7-a0b7e4c10a38,a1324167-56ea-41a4-9a19-053bdb057d12,Fellow Alumni,3,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
bf4a42d5-8e88-4728-a99e-aeefc91ea28a,a1324167-56ea-41a4-9a19-053bdb057d12,Family - extended,5,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
f0ecbee4-58b9-416c-bad3-7d699e4f9b65,a1324167-56ea-41a4-9a19-053bdb057d12,Business Partner,9,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
a4377ce2-d3f7-4f95-85a0-ba47640ce0e6,a1324167-56ea-41a4-9a19-053bdb057d12,Family - extended,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
9f36f66d-dad0-4f0c-bc47-646917720a2d,a1324167-56ea-41a4-9a19-053bdb057d12,Collaborated with,8,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
2d9a78c4-6526-4d43-b065-62614cdd999f,3fd5da33-92af-46c6-a4e8-4d9b76079863,Family - extended,5,Health and Wellness: Yoga retreats and wellness tourism,2025-08-30 16:04:19
19b5c6a3-a4b3-4719-9e86-ce8247452e4e,3fd5da33-92af-46c6-a4e8-4d9b76079863,Mentor/Mentee,8,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
e1d3536e-2db5-42e1-922f-c6b4ad8484d6,3fd5da33-92af-46c6-a4e8-4d9b76079863,Fellow Board Member,8,"Creative Arts: Painting (oil painting, watercolor, acrylics)",2025-08-30 16:04:19
50003772-4cf8-4853-b962-518ac259506f,3fd5da33-92af-46c6-a4e8-4d9b76079863,Fellow Committee Member,5,Travel and Exploration: Visiting new countries and cultures,2025-08-30 16:04:19
0fbca3ed-44d3-44eb-92ea-afee99477576,80fa98e4-cc39-45dc-b441-530db0b5b105,Reported to,9,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
14aa0462-7a4a-44ce-8aa8-929039c42b50,3292cb01-0f37-45fa-87c5-c4077a323754,Advisor/Advisee,7,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
687e95e6-db48-4bab-b82f-db95f54f9500,3292cb01-0f37-45fa-87c5-c4077a323754,Friends with,6,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
a5007a50-6ff0-492c-8811-bfb2979e6944,3292cb01-0f37-45fa-87c5-c4077a323754,Fellow Speaker,3,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
f4fae78e-c1da-45eb-9dbb-b82747ab2ed2,3292cb01-0f37-45fa-87c5-c4077a323754,Fellow Committee Member,5,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
4a881899-37f1-430c-93fb-b40ad86c5965,23b0d32b-f83d-474b-8315-2f9935e246df,Fellow Speaker,3,"Reading and Literature: Poetry and poetic forms (haiku, sonnets, free verse)",2025-08-30 16:04:19
a45aa294-65f2-4a46-95fe-7383c8eb35a0,23b0d32b-f83d-474b-8315-2f9935e246df,Student/teacher,8,"Technology and Gaming: Video gaming (console gaming, PC gaming)",2025-08-30 16:04:19
c88b5fdd-4fa9-4821-a021-a9a305ae1056,23b0d32b-f83d-474b-8315-2f9935e246df,Advisor/Advisee,7,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
14aa0462-7a4a-44ce-8aa8-929039c42b50,72f246cf-48f3-4013-aeb2-e3636ccebf6a,Collaborated with,8,Cooking and Baking: Culinary arts and gourmet cooking,2025-08-30 16:04:19
ba3c1351-1299-4e46-b9cc-1c94b08ec5cd,5ab17456-cc3d-456c-85a4-012e9d2ed334,Co-author,7,"Outdoor Activities: Camping (tent camping, RV camping)",2025-08-30 16:04:19
