id,donor_id,interest_category,interest_name
DON001,81b4fdd4-52ce-4392-895b-d51bd022769c,Environment,Environment
DON002,81b4fdd4-52ce-4392-895b-d51bd022769c,Yoga and Pilates,Yoga and Pilates
DON003,81b4fdd4-52ce-4392-895b-d51bd022769c,Sports and Fitness,Sports and Fitness
DON004,77f516d3-cceb-4be1-b196-118533a298b8,Arts and Culture,Arts and Culture
DON005,77f516d3-cceb-4be1-b196-118533a298b8,Yoga and Pilates,Yoga and Pilates
DON006,77f516d3-cceb-4be1-b196-118533a298b8,Travel,Travel
DON007,bd2ac925-d8b7-41b6-a0da-097d219c52b9,Travel,Travel
DON008,4686d4f1-3025-4668-b373-be1863c04bda,Sports and Fitness,Sports and Fitness
DON009,4686d4f1-3025-4668-b373-be1863c04bda,Environment,Environment
DON010,4686d4f1-3025-4668-b373-be1863c04bda,Technology,Technology
DON011,a9059867-0b98-4291-a8f4-732138b566ad,Food and Cooking,Food and Cooking
DON012,a9059867-0b98-4291-a8f4-732138b566ad,Yoga and Pilates,Yoga and Pilates
DON013,aeadf14b-be42-4935-a65b-66a96193ba14,Education,Education
DON014,aeadf14b-be42-4935-a65b-66a96193ba14,Yoga and Pilates,Yoga and Pilates
DON015,aeadf14b-be42-4935-a65b-66a96193ba14,Finance,Finance
DON016,a67dccb0-1e8b-4bd0-9a55-d5688b8ca078,Education,Education
DON017,4797bbef-f5af-41b8-b0d2-7872b0f26548,Health and Wellness,Health and Wellness
DON018,05facf2b-d441-4869-b8b8-8705ae2689ed,Technology,Technology
DON019,05facf2b-d441-4869-b8b8-8705ae2689ed,Yoga and Pilates,Yoga and Pilates
DON020,05facf2b-d441-4869-b8b8-8705ae2689ed,Travel,Travel
DON021,cb866baf-0202-4855-9946-872afc2422af,Food and Cooking,Food and Cooking
DON022,21f60414-550b-495f-b6f6-fbe8617076cf,Arts and Culture,Arts and Culture
DON023,e2c16e2c-ee87-44cc-8a66-c2b886472e50,Environment,Environment
DON024,e2c16e2c-ee87-44cc-8a66-c2b886472e50,Food and Cooking,Food and Cooking
DON025,63384ddc-1805-48b3-8b0d-6bbfb92c4a53,Finance,Finance
DON026,41c9a25b-736d-4506-8957-979628f9d29e,Yoga and Pilates,Yoga and Pilates
DON027,41c9a25b-736d-4506-8957-979628f9d29e,Food and Cooking,Food and Cooking
DON028,60658dde-85c9-4d9d-aa90-2fdb1efb57f3,Environment,Environment
DON029,60658dde-85c9-4d9d-aa90-2fdb1efb57f3,Yoga and Pilates,Yoga and Pilates
DON030,60658dde-85c9-4d9d-aa90-2fdb1efb57f3,Health and Wellness,Health and Wellness
DON031,e7621516-acbe-437c-b331-941d721eda42,Sports and Fitness,Sports and Fitness
DON032,e7621516-acbe-437c-b331-941d721eda42,Finance,Finance
DON033,8d380166-1c42-4921-a5fd-430a72bb7812,Arts and Culture,Arts and Culture
DON034,8d380166-1c42-4921-a5fd-430a72bb7812,Health and Wellness,Health and Wellness
DON035,0600a11e-9508-4a0a-bdd2-ac763ce05346,Finance,Finance
DON036,0600a11e-9508-4a0a-bdd2-ac763ce05346,Sports and Fitness,Sports and Fitness
DON037,0600a11e-9508-4a0a-bdd2-ac763ce05346,Food and Cooking,Food and Cooking
DON038,dcee0dea-c0ea-494c-bf3b-e7d077f2db77,Yoga and Pilates,Yoga and Pilates
DON039,5c41d8f3-e4d5-414d-bb0e-a9d3b2994854,Technology,Technology
DON040,5c41d8f3-e4d5-414d-bb0e-a9d3b2994854,Finance,Finance
DON041,8ee650af-32e6-432d-9e93-8cda43b84dd2,Yoga and Pilates,Yoga and Pilates
DON042,8ee650af-32e6-432d-9e93-8cda43b84dd2,Technology,Technology
DON043,8ee650af-32e6-432d-9e93-8cda43b84dd2,Health and Wellness,Health and Wellness
DON044,d7dc3fc8-6c0f-4a42-b180-48bfe2169b5d,Technology,Technology
DON045,d7dc3fc8-6c0f-4a42-b180-48bfe2169b5d,Travel,Travel
DON046,d7dc3fc8-6c0f-4a42-b180-48bfe2169b5d,Food and Cooking,Food and Cooking
DON047,fabaed29-8aa1-4007-90ad-5ef10d4df600,Finance,Finance
DON048,54a2e6ba-964e-4bff-acb3-3738c9fc3e6b,Education,Education
