id,donor_id,interest_category,interest_name
o87skkjl4l,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,Health and Wellness,Yoga retreats wellness tourism
tj3mpzbj6a,2cdfec1d-2f33-47cf-a81f-7442578c17b8,Health & Wellness,Nutrition planning meal prepping
i025lrlcak,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Travel and Exploration,Cruise vacations and sailing adventures
8nrvlkgfxa,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Health and Wellness,Holistic health practices (acupuncture herbalism)
cyy8ryjscu,ab8efba9-e14f-47af-aee3-9c033bd5f70e,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
7j6saixtdx,724b0662-be32-4adf-b63e-6d0a69fa3e3b,Travel and Exploration,Road trips and exploring scenic routes
pw4pdj0l51,a6003879-edaa-4a4e-a79a-d8e478a6aec0,Travel and Exploration,Cruise vacations and sailing adventures
qx14d5ceeo,a467aa3c-59c5-461d-aee5-2ca6e11a8e3d,Travel and Exploration,Ecotourism and sustainable travel
0vdhq0blwo,a467aa3c-59c5-461d-aee5-2ca6e11a8e3d,Travel and Exploration,Urban exploration and historical tours
agx7uti2th,a467aa3c-59c5-461d-aee5-2ca6e11a8e3d,Reading and Literature,"Non-fiction (biographies, history, self-help, psychology)"
vou48jyqvh,7667da40-5c39-41f1-9697-07b379e1a049,Reading and Literature,Reading challenges and book clubs
t2t0ei59om,7667da40-5c39-41f1-9697-07b379e1a049,Outdoor Activities,"Camping (tent camping, RV camping)"
gvddz9mv30,7667da40-5c39-41f1-9697-07b379e1a049,Health and Wellness,Holistic health practices (acupuncture herbalism)
2wj1ghckz4,de37fe36-8637-4173-825e-fc983a0d1dc2,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
p31g44co03,de37fe36-8637-4173-825e-fc983a0d1dc2,Reading and Literature,"Fiction (novels, short stories, fantasy, science fiction)"
i3l38mxd7m,de37fe36-8637-4173-825e-fc983a0d1dc2,Health and Wellness,Practicing mindfulness meditation
wmw00e06ez,07c08a95-b20e-4c0c-a920-c478180d67f3,Travel and Exploration,Backpacking and adventure travel
dtbxltogf6,07c08a95-b20e-4c0c-a920-c478180d67f3,Outdoor Activities,"Camping (tent camping, RV camping)"
blthvo6s9y,07c08a95-b20e-4c0c-a920-c478180d67f3,Travel and Exploration,Road trips and exploring scenic routes
nfb4s67b1o,aaaa5064-6b5a-48c5-92d6-420bb08ed13b,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
v0y9ohkp0m,aaaa5064-6b5a-48c5-92d6-420bb08ed13b,Outdoor Activities,Hiking and nature walks
q9cliovcf8,067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Health and Wellness,Fitness obstacle course races
dy4gtxfx77,067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Reading and Literature,Reading challenges and book clubs
p9tjv79pvk,067c7536-bbb2-4aa7-9b5f-7d50dc620a50,Reading and Literature,Literary analysis and book discussions
b6lsyzaphw,a6f4a572-2ef3-4c2e-aefc-30640121cb89,Reading and Literature,"Fiction (novels, short stories, fantasy, science fiction)"
7uj77bxjgu,a6f4a572-2ef3-4c2e-aefc-30640121cb89,Travel and Exploration,Road trips and exploring scenic routes
mtr0xq8967,8f5ec432-5429-4c19-94de-b2319982c7d4,Travel and Exploration,Visiting new countries and cultures
in3tyt224d,8f5ec432-5429-4c19-94de-b2319982c7d4,Health & Wellness,Nutrition planning meal prepping
mdxr29bwna,4801821c-e130-4bc3-849a-03fd628726c7,Travel and Exploration,Backpacking and adventure travel
lnttvw20yt,4801821c-e130-4bc3-849a-03fd628726c7,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
r5c2f4n6ar,2e9aba02-cb84-46f1-96fe-13d75bbc9f25,Travel and Exploration,Ecotourism and sustainable travel
g5351g1ohr,22bb84e2-4c41-4d0a-8bc6-421473b2fc6e,Health and Wellness,Practicing mindfulness meditation
5xrewi7re5,22bb84e2-4c41-4d0a-8bc6-421473b2fc6e,Travel and Exploration,Cruise vacations and sailing adventures
tbu3dmzhpi,5edf4a5d-2c85-49a9-bf47-c8ca7b680251,Health and Wellness,Practicing mindfulness meditation
1gjd8r4i84,5edf4a5d-2c85-49a9-bf47-c8ca7b680251,Health and Wellness,Yoga retreats wellness tourism
m2nhsp9bm5,10405448-9792-44c5-b790-65de50454400,Outdoor Activities,Hiking and nature walks
anw8o52nua,d36a21aa-57f2-4190-8e43-cb5b789d716a,Outdoor Activities,Wilderness survival skills
qi30lwj6dl,ec3dbd99-663d-4042-ae2e-d2a83fbb3d4e,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
6llctjr42b,52f85071-0b33-416a-88a0-4d89130353d4,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
7j4free11b,52f85071-0b33-416a-88a0-4d89130353d4,Travel and Exploration,Backpacking and adventure travel
34vbtrh5xn,52f85071-0b33-416a-88a0-4d89130353d4,Health and Wellness,Practicing mindfulness meditation
2c6g9l597h,d64fdfe8-4c8a-47eb-9c94-c78593abe450,Outdoor Activities,"Camping (tent camping, RV camping)"
4bz0pwbyr3,fd3e0ae4-9422-4be7-bef6-4f17e68dccb6,Reading and Literature,Audio books and storytelling podcasts
otos7rucnz,8ab67aa1-c341-41eb-9c01-c4dfe300856e,Outdoor Activities,Hiking and nature walks
99gshwx0wa,8ab67aa1-c341-41eb-9c01-c4dfe300856e,Reading and Literature,"Fiction (novels, short stories, fantasy, science fiction)"
npf0kxo3z8,f4a0c584-4f58-4b80-ac4d-0821e3acd404,Outdoor Activities,"Camping (tent camping, RV camping)"
i7a4hohn39,0bbffdb0-b3e5-452a-891d-43bc7501f262,Outdoor Activities,"Camping (tent camping, RV camping)"
3gpce1rc47,0bbffdb0-b3e5-452a-891d-43bc7501f262,Health & Wellness,Nutrition planning meal prepping
dtt1eh6tq2,0bbffdb0-b3e5-452a-891d-43bc7501f262,Health and Wellness,Fitness obstacle course races
iyyzpk1m0q,9919b0a1-e0d1-48c8-8768-36e69725424d,Outdoor Activities,Wilderness survival skills
cae8bgxup2,7a34d9e3-cd63-4987-951e-a903a25a25c3,Reading and Literature,"Poetry and poetic forms (haiku, sonnets, free verse)"
vvqmd81uzt,7a34d9e3-cd63-4987-951e-a903a25a25c3,Reading and Literature,"Non-fiction (biographies, history, self-help, psychology)"
y4vo6y8kzm,7a34d9e3-cd63-4987-951e-a903a25a25c3,Reading and Literature,Audio books and storytelling podcasts
1q66un8ebb,65192c5d-98ee-4529-b43a-2610de2a0b18,Travel and Exploration,Cruise vacations and sailing adventures
f6bv2qox6j,02ab02f6-2bac-4a0d-bdc2-f84b166e3154,Health and Wellness,Holistic health practices (acupuncture herbalism)
nii81y7kc2,4d095139-c79e-446f-a51a-fb527b8e57da,Health and Wellness,Practicing mindfulness meditation
fzhku2zc71,7743f1e2-785c-459a-b882-78f5dc9e7979,Outdoor Activities,Wilderness survival skills
evzgigvvlg,45fca87a-fc6a-4dc7-bc8c-3a24cfc9df1b,Reading and Literature,Audio books and storytelling podcasts
fi8hut17o4,45fca87a-fc6a-4dc7-bc8c-3a24cfc9df1b,Reading and Literature,Literary analysis and book discussions
xlnxh3ntg4,45fca87a-fc6a-4dc7-bc8c-3a24cfc9df1b,Travel and Exploration,Cruise vacations and sailing adventures
fx7hesncp7,72640ec6-a58a-4646-b46c-e2e72a162e7a,Health and Wellness,Holistic health practices (acupuncture herbalism)
xhpecq9jhx,72640ec6-a58a-4646-b46c-e2e72a162e7a,Health and Wellness,Fitness obstacle course races
