id,donor_id,interest_category,interest_name
gen_eb16cd64-48b3-4f4f-bb3a-3e3b0e7a3a4e,002ee4ed-6085-4969-9cf0-0776607ee397,Lifestyle,Music
gen_b5c07b03-ac72-4ec5-b8fd-c41099d093f3,002ee4ed-6085-4969-9cf0-0776607ee397,Nutrition,Meal Prep
gen_0e9df64a-68df-4fa9-b4bd-7b54c6226eed,003c374e-1358-471e-8f22-8a59276a0747,Wellness,Yoga
gen_1cecdfad-9b4b-44fb-81c0-043275325aef,003c374e-1358-471e-8f22-8a59276a0747,Leisure,Cooking
gen_ce3f5f6d-6398-491a-8040-509287340a4f,003c374e-1358-471e-8f22-8a59276a0747,Fitness,Cycling
gen_b798dbf4-4989-488d-a99f-332313f44059,004f1a5a-796e-4d24-92f5-663c0c7fb445,Hobbies,Gardening
gen_75ea021d-3cf1-4db1-a8c7-b3bb067caec1,004f1a5a-796e-4d24-92f5-663c0c7fb445,Nutrition,Meal Prep
gen_e0283f0b-f90c-458d-85bf-416c3e4ad836,00684172-e806-46da-9c17-eb839869ecc8,Fitness,Strength Training
gen_36362098-008a-4f44-b290-a194816ebe9e,00684172-e806-46da-9c17-eb839869ecc8,Nutrition,Vegan Diet
gen_bf09f425-5e4a-4370-8ce3-4e8a365a136f,006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Lifestyle,Music
gen_c2a9a08d-caca-4f64-a37d-144b2a0e6be8,006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Fitness,Running
gen_22dc4e36-5289-412a-a242-ab1936c15915,0093fcb3-b524-416f-b6fe-b8cae32d411a,Wellness,Yoga
gen_044ed2de-47ae-4f69-9c92-8098b849d0f3,0093fcb3-b524-416f-b6fe-b8cae32d411a,Lifestyle,Digital Detox
gen_3701e8d0-7670-4e30-8645-edfa38ea5d00,00b2744b-14d6-43a5-885d-232b3e4b7b0a,Lifestyle,Digital Detox
gen_2c9ef71b-a01a-42fe-8fbe-4aa1c53a546f,00b2744b-14d6-43a5-885d-232b3e4b7b0a,Wellness,Yoga
gen_8cc9aa43-ed2b-4dc1-9274-109f101b601f,00cba771-fb33-4590-a41e-b4140ec0c527,Wellness,Yoga
gen_5c379c6d-ab97-45cc-8f6d-805ba2cc53b1,00cba771-fb33-4590-a41e-b4140ec0c527,Lifestyle,Minimalism
gen_0ffef336-597a-49ad-8e97-b2aab6304d47,00cba771-fb33-4590-a41e-b4140ec0c527,Fitness,Strength Training
gen_2652f623-b654-4941-9af6-d7be47bdf2e7,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Leisure,Reading
gen_ee51879c-6ae3-42be-aa61-c6cda8b5b516,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Community,Volunteering
gen_0f4502ac-2108-41f4-aebb-1ada5b6701b4,00d3e7b9-a9c2-4fd5-b3bb-1440c6f2cbe9,Lifestyle,Music
gen_d4284771-1852-42f4-afdc-b2ad698e949d,00dfd0dd-b64f-42df-bf25-4eec7f829f6b,Nutrition,Meal Prep
gen_55118b7f-7e74-4279-ba1b-c49015d06011,00dfd0dd-b64f-42df-bf25-4eec7f829f6b,Nutrition,Vegan Diet
gen_b49f72de-b877-47bd-9c04-b0d861149344,0106a48c-dfb3-4b1c-baff-563f33269393,Wellness,Meditation
gen_b606c19e-21cb-47e1-9048-dd3c6155cb88,0106a48c-dfb3-4b1c-baff-563f33269393,Fitness,Cycling
gen_cd42af21-a5fe-47d9-8b36-aeec2faba8cc,0106a48c-dfb3-4b1c-baff-563f33269393,Wellness,Yoga
gen_6a003e25-8342-4405-b295-bcdae698695e,010c1b43-81e6-4cdc-8d78-a65acef426f5,Fitness,Running
gen_9b67e3cf-982e-4072-b7b3-5b3a2e0dec7c,010c1b43-81e6-4cdc-8d78-a65acef426f5,Leisure,Cooking
gen_34756f80-9163-4d35-911b-2e0f878b392e,010c1b43-81e6-4cdc-8d78-a65acef426f5,Nutrition,Vegan Diet
gen_fd58b3cc-950b-4cea-8802-d726a68cb9bc,010ccfd4-e940-4f1f-adb3-91f7d5f0bc27,Nutrition,Keto Diet
gen_3d7f3d87-aaed-4990-bb5b-7100ed841875,010ccfd4-e940-4f1f-adb3-91f7d5f0bc27,Community,Volunteering
gen_9b721432-1e6e-45e0-8cbb-4f7cf4f4bb4b,01170fce-33a9-44c3-8990-1891c89b08ab,Fitness,Strength Training
gen_b218a049-4471-480e-bc7b-42a6dc9e6ef1,01170fce-33a9-44c3-8990-1891c89b08ab,Wellness,Meditation
gen_76fb9979-062d-487b-92de-21ecb2f115b1,01170fce-33a9-44c3-8990-1891c89b08ab,Leisure,Reading
gen_e5b109d9-d8f5-441f-90a5-893e3f6c1cdb,015c2ed2-b249-4da9-bb78-c24bc01bfda8,Nutrition,Meal Prep
gen_be5c7330-ef43-4ba0-b606-191a4fdf4f10,015c2ed2-b249-4da9-bb78-c24bc01bfda8,Lifestyle,Minimalism
gen_236f31f0-7eef-4847-8932-2427401318e2,01642303-43b9-4565-b1ea-cff93eb2b335,Leisure,Cooking
gen_3ba3c0fa-10ba-4d6f-9755-952f2601c568,01642303-43b9-4565-b1ea-cff93eb2b335,Nutrition,Vegan Diet
gen_06d2cd41-8b42-4b1a-a9c0-15d76619b86c,0178e78b-ca2b-4c1d-8478-c54d654da361,Lifestyle,Digital Detox
gen_98251cd3-da60-4847-addd-615f17961656,0178e78b-ca2b-4c1d-8478-c54d654da361,Wellness,Meditation
gen_3eed9286-d7c3-40c4-a244-7ea2e2c13d3e,017aecc1-ec5b-44dc-a629-b78f64de6e68,Fitness,Strength Training
gen_515eb8a2-dc84-47ab-9b33-e3cc07feea8d,017aecc1-ec5b-44dc-a629-b78f64de6e68,Wellness,Yoga
gen_cd15ba69-9758-44c5-bf21-ebad2d16a7ae,017aecc1-ec5b-44dc-a629-b78f64de6e68,Nutrition,Meal Prep
