link_id,influencer_id,donor_id,relationship_type,linked_at
d2c8879a-dd3f-4f6d-b056-96ead85933ba,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,cb100999-f86f-44b6-96e5-b74ecae88737,Event Attendee Link,2025-08-30T02:52:35.487569
ed764d33-85ce-4663-a440-09775eccb90b,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,b8f32d65-6eec-48b2-ab12-70dba39c32a4,Event Attendee Link,2025-08-30T02:52:35.487569
783b6553-04b2-4139-8de7-e09d0caa4ea8,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,2cab6e9a-02ff-4c51-b54c-c8f16f6bf888,Mentor/Mentee,2025-08-30T02:52:35.487569
d0591690-1e08-4663-b3e8-abe38a935489,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,19e8ff80-c4dc-4bbc-a310-a044cc15730c,Mentor/Mentee,2025-08-30T02:52:35.489720
38b443c0-0bec-4da1-86cc-2537370f26db,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,fc2976d6-4ed8-4f3c-973f-ca00b2794b52,Family - first level,2025-08-30T02:52:35.489720
06babcf5-5109-479d-95a1-b36522d618fb,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,26882ccb-bb29-4670-87f3-12afbd161d8a,Family - first level,2025-08-30T02:52:35.489720
364a7a50-a5ff-468d-a398-b1ff323a8193,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,2b811bef-5500-47a3-8959-7d87242bcbaf,Mentor/Mentee,2025-08-30T02:52:35.489720
95a240cc-d64a-4be1-bcad-40a1534f12c9,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,77d08491-a608-4a20-b1a5-41170b28e51b,Family - first level,2025-08-30T02:52:35.489720
da36f969-c675-4912-a915-eba21092260c,ecd9df79-22a9-416c-a3b7-5a207ccb2e4f,69828d9a-23e8-42d7-9a07-91a38504aa02,Social Media Follower,2025-08-30T02:52:35.489720
5ffa0b58-f3d5-450f-915e-a57b896b6f03,2cdfec1d-2f33-47cf-a81f-7442578c17b8,93ace85f-3e3a-4534-a611-970a3f707ced,Event Attendee Link,2025-08-30T02:52:35.489720
e2deee04-42b6-436f-8505-015e4abce6e4,2cdfec1d-2f33-47cf-a81f-7442578c17b8,771dc2ea-86d9-4c6a-852f-f6757880da11,Family - first level,2025-08-30T02:52:35.489720
784cc7b8-64ee-48b2-9ff2-382d657d36e4,2cdfec1d-2f33-47cf-a81f-7442578c17b8,e58910f5-4b38-475b-b689-ae7b3bab459f,Social Media Follower,2025-08-30T02:52:35.491526
0a38f25d-512b-4236-b8f2-d075bf034527,2cdfec1d-2f33-47cf-a81f-7442578c17b8,c382a45a-acd9-497d-bfe5-1d12336590c8,Social Media Follower,2025-08-30T02:52:35.491526
0988d855-c8ea-40f7-9491-6eda5013da59,2cdfec1d-2f33-47cf-a81f-7442578c17b8,30a57139-8c8a-4cb7-b9da-26a48fbc8ab1,Friend/Colleague,2025-08-30T02:52:35.491526
1e6c17d2-39c6-41b3-8817-fc33c6ac0e85,2cdfec1d-2f33-47cf-a81f-7442578c17b8,a91c7a41-981c-4ee3-ac0f-45a5e6740ed1,Event Attendee Link,2025-08-30T02:52:35.491526
3ecd9900-bfca-47ae-b8a2-cf05041168d5,2cdfec1d-2f33-47cf-a81f-7442578c17b8,bacc2424-397d-47c9-a3b7-8fae7a132895,Friend/Colleague,2025-08-30T02:52:35.491526
5ed36821-54ab-4c8d-9486-ceeccc85c403,2cdfec1d-2f33-47cf-a81f-7442578c17b8,e6fb5a7b-29d1-4c42-9116-9d7e3903ff1a,Friend/Colleague,2025-08-30T02:52:35.491526
df29690d-fbe5-4ccf-a4f7-f060afd074dd,2cdfec1d-2f33-47cf-a81f-7442578c17b8,ab328f1e-368e-4106-a169-fc18d8930ed2,Mentor/Mentee,2025-08-30T02:52:35.491526
41b83f4f-3ad5-4e3a-a939-bb5a4d03ff69,2cdfec1d-2f33-47cf-a81f-7442578c17b8,4d21c025-7c10-489c-b83e-85d1c3bb8c66,Social Media Follower,2025-08-30T02:52:35.491526
defddd79-0214-4ee3-a854-468f4bacfdb9,2cdfec1d-2f33-47cf-a81f-7442578c17b8,8a25dcc9-325b-4a95-951a-8ea653808be2,Friend/Colleague,2025-08-30T02:52:35.491526
a9aa1972-1ad1-4253-998c-1e87f04d3952,2cdfec1d-2f33-47cf-a81f-7442578c17b8,4e2a50dd-c749-43be-b1a4-975c0338074d,Mentor/Mentee,2025-08-30T02:52:35.491526
8bee4a55-5120-4248-bbb8-ff9ad9b8c1aa,2cdfec1d-2f33-47cf-a81f-7442578c17b8,01e97589-44e7-44d2-83ec-f215c6058414,Event Attendee Link,2025-08-30T02:52:35.491526
00624627-d4e7-4436-b289-4910ddaf5599,2cdfec1d-2f33-47cf-a81f-7442578c17b8,00b2744b-14d6-43a5-885d-232b3e4b7b0a,Friend/Colleague,2025-08-30T02:52:35.491526
98c24b2f-e4b2-4774-bdce-32a6246e1376,2cdfec1d-2f33-47cf-a81f-7442578c17b8,ec8989d6-3321-4872-b430-86054b1d6ff2,Social Media Follower,2025-08-30T02:52:35.491526
7d51aca0-514f-44bc-957c-b7d3cc8862bf,ab8efba9-e14f-47af-aee3-9c033bd5f70e,57d12c08-e268-4923-a4d0-34d5939a18e0,Event Attendee Link,2025-08-30T02:52:35.491526
3146882a-2a92-447a-9d43-205f54c5030a,ab8efba9-e14f-47af-aee3-9c033bd5f70e,190e60fa-50fd-4237-b948-cfb1bef2bf26,Friend/Colleague,2025-08-30T02:52:35.491526
54aeef5b-5723-4ad3-9f72-84d98a1e54c5,ab8efba9-e14f-47af-aee3-9c033bd5f70e,2b811bef-5500-47a3-8959-7d87242bcbaf,Social Media Follower,2025-08-30T02:52:35.491526
42a05402-3036-4686-b487-160d746f5fff,ab8efba9-e14f-47af-aee3-9c033bd5f70e,3fa705aa-f883-4f7d-9e6b-9076be84ce43,Event Attendee Link,2025-08-30T02:52:35.493534
ad5c3c23-3460-472c-b23e-7f9e5416a0e9,ab8efba9-e14f-47af-aee3-9c033bd5f70e,e549621f-3d78-41a6-b788-2cc4e3e2b0ca,Friend/Colleague,2025-08-30T02:52:35.493534
4657866a-7acf-4cae-9dd6-70c4fd1545ce,ab8efba9-e14f-47af-aee3-9c033bd5f70e,e0292b72-2c00-419f-bfce-b6d0eef2f703,Mentor/Mentee,2025-08-30T02:52:35.493534
a0d6e324-5966-43d4-ac4a-7de3a8bad4ce,ab8efba9-e14f-47af-aee3-9c033bd5f70e,23c106b5-143d-4c2c-ba9c-bb4614f0e31b,Family - first level,2025-08-30T02:52:35.493534
950161ee-de32-4fb9-a277-9a15ae219ddb,ab8efba9-e14f-47af-aee3-9c033bd5f70e,f4a0c584-4f58-4b80-ac4d-0821e3acd404,Friend/Colleague,2025-08-30T02:52:35.493534
c14fcaf1-dde5-46f6-bc2d-dcf4e6f49ac0,ab8efba9-e14f-47af-aee3-9c033bd5f70e,c7801749-d138-40e7-8599-d921fb78655e,Friend/Colleague,2025-08-30T02:52:35.493534
31eba42b-e161-403d-978b-ad91ec97d823,ab8efba9-e14f-47af-aee3-9c033bd5f70e,74a5b0af-0c1c-49b2-827c-33b0388858b1,Mentor/Mentee,2025-08-30T02:52:35.493534
4a2859b8-2430-4004-94e0-f7058693f2fe,ab8efba9-e14f-47af-aee3-9c033bd5f70e,3a5943b0-df83-430f-a8eb-0bf14a45091d,Social Media Follower,2025-08-30T02:52:35.493534
cbf3c6ed-0ede-4a96-8847-17ee60a590c9,ab8efba9-e14f-47af-aee3-9c033bd5f70e,ac7322df-4b47-4af3-ab37-7b304310ab48,Family - first level,2025-08-30T02:52:35.493534
bf2f88ea-5c25-4a8a-a4f8-fde5485e5d7d,ab8efba9-e14f-47af-aee3-9c033bd5f70e,11733031-a8ef-4abe-ba8c-03b6ff81532e,Friend/Colleague,2025-08-30T02:52:35.493534
4dc620c7-036d-4734-aae7-427a3126d800,724b0662-be32-4adf-b63e-6d0a69fa3e3b,2e030788-2d79-49f3-a6bc-87b3bade8bee,Friend/Colleague,2025-08-30T02:52:35.493534
bd76947a-f5a0-4adc-bebe-8ab1c1be1b4a,724b0662-be32-4adf-b63e-6d0a69fa3e3b,721d044b-385b-4fd3-badb-14b4d016aaf9,Social Media Follower,2025-08-30T02:52:35.493534
fc569e4d-9a82-4d34-8cde-5f2fa5a2f93f,724b0662-be32-4adf-b63e-6d0a69fa3e3b,4b5f52f1-9647-4b96-89ac-08676aab1999,Mentor/Mentee,2025-08-30T02:52:35.493534
38483796-5ab4-459f-b88c-93ec2f43b023,724b0662-be32-4adf-b63e-6d0a69fa3e3b,7ba1befc-e4d6-4cc9-ba5a-178a50afefd6,Friend/Colleague,2025-08-30T02:52:35.493534
eac6b1f1-2650-488b-bc63-cecd923c422c,724b0662-be32-4adf-b63e-6d0a69fa3e3b,f32a9ed9-4aee-4f0a-a797-f9d7df2ad6a6,Mentor/Mentee,2025-08-30T02:52:35.495543
27875ddf-8920-4c92-bb8a-f8d1d9ffd012,724b0662-be32-4adf-b63e-6d0a69fa3e3b,006ced9f-89da-468a-9c8c-1a0ef98e8cd5,Friend/Colleague,2025-08-30T02:52:35.495543
